"number","Title","cluster"
"317","In the Name of the Father (1993)",3
"318","Schindler's List (1993)",3
"319","Everyone Says I Love You (1996)",1
"320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",5
"321","Mother (1996)",1
"322","Murder at 1600 (1997)",6
"323","Dante's Peak (1997)",4
"324","Lost Highway (1997)",5
"325","Crash (1996)",6
"326","G.I. Jane (1997)",3
"327","Cop Land (1997)",3
"328","Conspiracy Theory (1997)",4
"329","Desperate Measures (1998)",6
"330","187 (1997)",3
"331","Edge, The (1997)",6
"332","Kiss the Girls (1997)",6
"333","Game, The (1997)",6
"334","U Turn (1997)",4
"335","How to Be a Player (1997)",1
"336","Playing God (1997)",6
"337","House of Yes, The (1997)",6
"338","Bean (1997)",1
"339","Mad City (1997)",3
"340","Boogie Nights (1997)",3
"341","Critical Care (1997)",1
"342","Man Who Knew Too Little, The (1997)",1
"343","Alien: Resurrection (1997)",4
"344","Apostle, The (1997)",3
"345","Deconstructing Harry (1997)",1
"346","Jackie Brown (1997)",3
"347","Wag the Dog (1997)",1
"348","Desperate Measures (1998)",6
"349","Hard Rain (1998)",4
"350","Fallen (1998)",4
"351","Prophecy II, The (1998)",5
"352","Spice World (1997)",1
"353","Deep Rising (1998)",4
"354","Wedding Singer, The (1998)",1
"355","Sphere (1998)",6
"356","Client, The (1994)",6
"357","One Flew Over the Cuckoo's Nest (1975)",3
"358","Spawn (1997)",4
"359","Assignment, The (1997)",6
"360","Wonderland (1997)",5
"361","Incognito (1997)",6
"362","Blues Brothers 2000 (1998)",1
"363","Sudden Death (1995)",4
"364","Ace Ventura: When Nature Calls (1995)",1
"365","Powder (1995)",3
"366","Dangerous Minds (1995)",3
"367","Clueless (1995)",1
"368","Bio-Dome (1996)",1
"369","Black Sheep (1996)",1
"370","Mary Reilly (1996)",6
"371","Bridges of Madison County, The (1995)",3
"372","Jeffrey (1995)",1
"373","Judge Dredd (1995)",4
"374","Mighty Morphin Power Rangers: The Movie (1995)",2
"375","Showgirls (1995)",3
"376","Houseguest (1994)",1
"377","Heavyweights (1994)",2
"378","Miracle on 34th Street (1994)",3
"379","Tales From the Crypt Presents: Demon Knight (1995)",5
"380","Star Trek: Generations (1994)",4
"381","Muriel's Wedding (1994)",1
"382","Adventures of Priscilla, Queen of the Desert, The (1994)",1
"383","Flintstones, The (1994)",2
"384","Naked Gun 33 1/3: The Final Insult (1994)",1
"385","True Lies (1994)",4
"386","Addams Family Values (1993)",1
"387","Age of Innocence, The (1993)",3
"388","Beverly Hills Cop III (1994)",1
"389","Black Beauty (1994)",2
"390","Fear of a Black Hat (1993)",1
"391","Last Action Hero (1993)",1
"392","Man Without a Face, The (1993)",3
"393","Mrs. Doubtfire (1993)",1
"394","Radioland Murders (1994)",1
"395","Robin Hood: Men in Tights (1993)",1
"396","Serial Mom (1994)",1
"397","Striking Distance (1993)",4
"398","Super Mario Bros. (1993)",4
"399","Three Musketeers, The (1993)",4
"400","Little Rascals, The (1994)",2
"401","Brady Bunch Movie, The (1995)",1
"402","Ghost (1990)",1
"403","Batman (1989)",4
"404","Pinocchio (1940)",2
"405","Mission: Impossible (1996)",4
"406","Thinner (1996)",6
"407","Spy Hard (1996)",1
"408","Close Shave, A (1995)",1
"409","Jack (1996)",1
"410","Kingpin (1996)",1
"411","Nutty Professor, The (1996)",1
"412","Very Brady Sequel, A (1996)",1
"413","Tales from the Crypt Presents: Bordello of Blood (1996)",5
"414","My Favorite Year (1982)",1
"415","Apple Dumpling Gang, The (1975)",2
"416","Old Yeller (1957)",3
"417","Parent Trap, The (1961)",3
"418","Cinderella (1950)",2
"419","Mary Poppins (1964)",2
"420","Alice in Wonderland (1951)",2
"421","William Shakespeare's Romeo and Juliet (1996)",3
"422","Aladdin and the King of Thieves (1996)",2
"423","E.T. the Extra-Terrestrial (1982)",3
"424","Children of the Corn: The Gathering (1996)",5
"425","Bob Roberts (1992)",1
"426","Transformers: The Movie, The (1986)",4
"427","To Kill a Mockingbird (1962)",3
"428","Harold and Maude (1971)",1
"429","Day the Earth Stood Still, The (1951)",3
"430","Duck Soup (1933)",1
"431","Highlander (1986)",4
"432","Fantasia (1940)",2
"433","Heathers (1989)",1
"434","Forbidden Planet (1956)",5
"435","Butch Cassidy and the Sundance Kid (1969)",1
"436","American Werewolf in London, An (1981)",5
"437","Amityville 1992: It's About Time (1992)",5
"438","Amityville 3-D (1983)",5
"439","Amityville: A New Generation (1993)",5
"440","Amityville II: The Possession (1982)",5
"441","Amityville Horror, The (1979)",5
"442","Amityville Curse, The (1990)",5
"443","Birds, The (1963)",5
"444","Blob, The (1958)",5
"445","Body Snatcher, The (1945)",5
"446","Burnt Offerings (1976)",5
"447","Carrie (1976)",5
"448","Omen, The (1976)",5
"449","Star Trek: The Motion Picture (1979)",4
"450","Star Trek V: The Final Frontier (1989)",4
"451","Grease (1978)",1
"452","Jaws 2 (1978)",4
"453","Jaws 3-D (1983)",4
"454","Bastard Out of Carolina (1996)",3
"455","Jackie Chan's First Strike (1996)",4
"456","Beverly Hills Ninja (1997)",1
"457","Free Willy 3: The Rescue (1997)",2
"458","Nixon (1995)",3
"459","Cry, the Beloved Country (1995)",3
"460","Crossing Guard, The (1995)",3
"461","Smoke (1995)",3
"462","Like Water For Chocolate (Como agua para chocolate) (1992)",3
"463","Secret of Roan Inish, The (1994)",5
"464","Vanya on 42nd Street (1994)",3
"465","Jungle Book, The (1994)",2
"466","Red Rock West (1992)",6
"467","Bronx Tale, A (1993)",3
"468","Rudy (1993)",3
"469","Short Cuts (1993)",3
"470","Tombstone (1993)",5
"471","Courage Under Fire (1996)",3
"472","Dragonheart (1996)",4
"473","James and the Giant Peach (1996)",2
"474","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",5
"475","Trainspotting (1996)",3
"476","First Wives Club, The (1996)",1
"477","Matilda (1996)",2
"478","Philadelphia Story, The (1940)",1
"479","Vertigo (1958)",6
"480","North by Northwest (1959)",1
"481","Apartment, The (1960)",1
"482","Some Like It Hot (1959)",1
"483","Casablanca (1942)",3
"484","Maltese Falcon, The (1941)",5
"485","My Fair Lady (1964)",5
"486","Sabrina (1954)",1
"487","Roman Holiday (1953)",1
"488","Sunset Blvd. (1950)",5
"489","Notorious (1946)",6
"490","To Catch a Thief (1955)",1
"491","Adventures of Robin Hood, The (1938)",4
"492","East of Eden (1955)",3
"493","Thin Man, The (1934)",5
"494","His Girl Friday (1940)",1
"495","Around the World in 80 Days (1956)",1
"496","It's a Wonderful Life (1946)",3
"497","Bringing Up Baby (1938)",1
"498","African Queen, The (1951)",4
"499","Cat on a Hot Tin Roof (1958)",3
"500","Fly Away Home (1996)",2
"501","Dumbo (1941)",2
"502","Bananas (1971)",1
"503","Candidate, The (1972)",3
"504","Bonnie and Clyde (1967)",3
"505","Dial M for Murder (1954)",6
"506","Rebel Without a Cause (1955)",3
"507","Streetcar Named Desire, A (1951)",3
"508","People vs. Larry Flynt, The (1996)",3
"509","My Left Foot (1989)",3
"510","Magnificent Seven, The (1954)",3
"511","Lawrence of Arabia (1962)",5
"512","Wings of Desire (1987)",1
"513","Third Man, The (1949)",6
"514","Annie Hall (1977)",1
"515","Boot, Das (1981)",3
"516","Local Hero (1983)",1
"517","Manhattan (1979)",1
"518","Miller's Crossing (1990)",3
"519","Treasure of the Sierra Madre, The (1948)",5
"520","Great Escape, The (1963)",5
"521","Deer Hunter, The (1978)",3
"522","Down by Law (1986)",1
"523","Cool Hand Luke (1967)",1
"524","Great Dictator, The (1940)",1
"525","Big Sleep, The (1946)",5
"526","Ben-Hur (1959)",4
"527","Gandhi (1982)",3
"528","Killing Fields, The (1984)",3
"529","My Life as a Dog (Mitt liv som hund) (1985)",3
"530","Man Who Would Be King, The (1975)",5
"531","Shine (1996)",3
"532","Kama Sutra: A Tale of Love (1996)",5
"533","Daytrippers, The (1996)",5
"534","Traveller (1997)",3
"535","Addicted to Love (1997)",1
"536","Ponette (1996)",3
"537","My Own Private Idaho (1991)",3
"538","Anastasia (1997)",2
"539","Mouse Hunt (1997)",2
"540","Money Train (1995)",4
"541","Mortal Kombat (1995)",4
"542","Pocahontas (1995)",2
"543","Mis�rables, Les (1995)",3
"544","Things to Do in Denver when You're Dead (1995)",3
"545","Vampire in Brooklyn (1995)",1
"546","Broken Arrow (1996)",4
"547","Young Poisoner's Handbook, The (1995)",5
"548","NeverEnding Story III, The (1994)",2
"549","Rob Roy (1995)",3
"550","Die Hard: With a Vengeance (1995)",4
"551","Lord of Illusions (1995)",5
"552","Species (1995)",5
"553","Walk in the Clouds, A (1995)",3
"554","Waterworld (1995)",4
"555","White Man's Burden (1995)",3
"556","Wild Bill (1995)",5
"557","Farinelli: il castrato (1994)",3
"558","Heavenly Creatures (1994)",6
"559","Interview with the Vampire (1994)",3
"560","Kid in King Arthur's Court, A (1995)",2
"561","Mary Shelley's Frankenstein (1994)",3
"562","Quick and the Dead, The (1995)",4
"563","Stephen King's The Langoliers (1995)",5
"564","Tales from the Hood (1995)",1
"565","Village of the Damned (1995)",6
"566","Clear and Present Danger (1994)",4
"567","Wes Craven's New Nightmare (1994)",5
"568","Speed (1994)",4
"569","Wolf (1994)",3
"570","Wyatt Earp (1994)",5
"571","Another Stakeout (1993)",1
"572","Blown Away (1994)",4
"573","Body Snatchers (1993)",6
"574","Boxing Helena (1993)",6
"575","City Slickers II: The Legend of Curly's Gold (1994)",1
"576","Cliffhanger (1993)",4
"577","Coneheads (1993)",1
"578","Demolition Man (1993)",4
"579","Fatal Instinct (1993)",1
"580","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",1
"581","Kalifornia (1993)",6
"582","Piano, The (1993)",3
"583","Romeo Is Bleeding (1993)",6
"584","Secret Garden, The (1993)",3
"585","Son in Law (1993)",1
"586","Terminal Velocity (1994)",4
"587","Hour of the Pig, The (1993)",3
"588","Beauty and the Beast (1991)",2
"589","Wild Bunch, The (1969)",5
"590","Hellraiser: Bloodline (1996)",4
"591","Primal Fear (1996)",6
"592","True Crime (1995)",6
"593","Stalingrad (1993)",5
"594","Heavy (1995)",3
"595","Fan, The (1996)",6
"596","Hunchback of Notre Dame, The (1996)",2
"597","Eraser (1996)",4
"598","Big Squeeze, The (1996)",1
"599","Police Story 4: Project S (Chao ji ji hua) (1993)",4
"600","Daniel Defoe's Robinson Crusoe (1996)",2
"601","For Whom the Bell Tolls (1943)",5
"602","American in Paris, An (1951)",5
"603","Rear Window (1954)",6
"604","It Happened One Night (1934)",1
"605","Meet Me in St. Louis (1944)",5
"606","All About Eve (1950)",3
"607","Rebecca (1940)",6
"608","Spellbound (1945)",6
"609","Father of the Bride (1950)",1
"610","Gigi (1958)",5
"611","Laura (1944)",5
"612","Lost Horizon (1937)",3
"613","My Man Godfrey (1936)",1
"614","Giant (1956)",3
"615","39 Steps, The (1935)",6
"616","Night of the Living Dead (1968)",5
"617","Blue Angel, The (Blaue Engel, Der) (1930)",3
"618","Picnic (1955)",3
"619","Extreme Measures (1996)",6
"620","Chamber, The (1996)",3
"621","Davy Crockett, King of the Wild Frontier (1955)",5
"622","Swiss Family Robinson (1960)",2
"623","Angels in the Outfield (1994)",2
"624","Three Caballeros, The (1945)",2
"625","Sword in the Stone, The (1963)",2
"626","So Dear to My Heart (1949)",3
"627","Robin Hood: Prince of Thieves (1991)",3
"628","Sleepers (1996)",3
"629","Victor/Victoria (1982)",1
"630","Great Race, The (1965)",1
"631","Crying Game, The (1992)",3
"632","Sophie's Choice (1982)",3
"633","Christmas Carol, A (1938)",3
"634","Microcosmos: Le peuple de l'herbe (1996)",5
"635","Fog, The (1980)",5
"636","Escape from New York (1981)",4
"637","Howling, The (1981)",1
"638","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3
"639","Tin Drum, The (Blechtrommel, Die) (1979)",3
"640","Cook the Thief His Wife & Her Lover, The (1989)",3
"641","Paths of Glory (1957)",3
"642","Grifters, The (1990)",3
"643","The Innocent (1994)",3
"644","Thin Blue Line, The (1988)",5
"645","Paris Is Burning (1990)",5
"646","Once Upon a Time in the West (1969)",5
"647","Ran (1985)",3
"648","Quiet Man, The (1952)",1
"649","Once Upon a Time in America (1984)",6
"650","Seventh Seal, The (Sjunde inseglet, Det) (1957)",3
"651","Glory (1989)",3
"652","Rosencrantz and Guildenstern Are Dead (1990)",1
"653","Touch of Evil (1958)",6
"654","Chinatown (1974)",6
"655","Stand by Me (1986)",1
"656","M (1931)",6
"657","Manchurian Candidate, The (1962)",6
"658","Pump Up the Volume (1990)",3
"659","Arsenic and Old Lace (1944)",6
"660","Fried Green Tomatoes (1991)",3
"661","High Noon (1952)",5
"662","Somewhere in Time (1980)",3
"663","Being There (1979)",1
"664","Paris, Texas (1984)",3
"665","Alien 3 (1992)",4
"666","Blood For Dracula (Andy Warhol's Dracula) (1974)",5
"667","Audrey Rose (1977)",5
"668","Blood Beach (1981)",4
"669","Body Parts (1991)",5
"670","Body Snatchers (1993)",6
"671","Bride of Frankenstein (1935)",5
"672","Candyman (1992)",5
"673","Cape Fear (1962)",6
"674","Cat People (1982)",5
"675","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",5
"676","Crucible, The (1996)",3
"677","Fire on the Mountain (1996)",5
"678","Volcano (1997)",6
"679","Conan the Barbarian (1981)",4
"680","Kull the Conqueror (1997)",4
"681","Wishmaster (1997)",5
"682","I Know What You Did Last Summer (1997)",6
"683","Rocket Man (1997)",1
"684","In the Line of Fire (1993)",4
"685","Executive Decision (1996)",4
"686","Perfect World, A (1993)",3
"687","McHale's Navy (1997)",1
"688","Leave It to Beaver (1997)",1
"689","Jackal, The (1997)",4
"690","Seven Years in Tibet (1997)",3
"691","Dark City (1998)",6
"692","American President, The (1995)",1
"693","Casino (1995)",3
"694","Persuasion (1995)",5
"695","Kicking and Screaming (1995)",1
"696","City Hall (1996)",6
"697","Basketball Diaries, The (1995)",3
"698","Browning Version, The (1994)",3
"699","Little Women (1994)",3
"700","Miami Rhapsody (1995)",1
"701","Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",5
"702","Barcelona (1994)",1
"703","Widows' Peak (1994)",3
"704","House of the Spirits, The (1993)",3
"705","Singin' in the Rain (1952)",5
"706","Bad Moon (1996)",5
"707","Enchanted April (1991)",3
"708","Sex, Lies, and Videotape (1989)",3
"709","Strictly Ballroom (1992)",1
"710","Better Off Dead... (1985)",1
"711","Substance of Fire, The (1996)",3
"712","Tin Men (1987)",1
"713","Othello (1995)",3
"714","Carrington (1995)",3
"715","To Die For (1995)",1
"716","Home for the Holidays (1995)",3
"717","Juror, The (1996)",6
"718","In the Bleak Midwinter (1995)",1
"719","Canadian Bacon (1994)",1
"720","First Knight (1995)",4
"721","Mallrats (1995)",1
"722","Nine Months (1995)",1
"723","Boys on the Side (1995)",1
"724","Circle of Friends (1995)",3
"725","Exit to Eden (1994)",1
"726","Fluke (1995)",3
"727","Immortal Beloved (1994)",3
"728","Junior (1994)",1
"729","Nell (1994)",3
"730","Queen Margot (Reine Margot, La) (1994)",3
"731","Corrina, Corrina (1994)",1
"732","Dave (1993)",1
"733","Go Fish (1994)",3
"734","Made in America (1993)",1
"735","Philadelphia (1993)",3
"736","Shadowlands (1993)",3
"737","Sirens (1994)",1
"738","Threesome (1994)",1
"739","Pretty Woman (1990)",1
"740","Jane Eyre (1996)",3
"741","Last Supper, The (1995)",6
"742","Ransom (1996)",6
"743","Crow: City of Angels, The (1996)",4
"744","Michael Collins (1996)",3
"745","Ruling Class, The (1972)",1
"746","Real Genius (1985)",1
"747","Benny & Joon (1993)",1
"748","Saint, The (1997)",4
"749","MatchMaker, The (1997)",1
"750","Amistad (1997)",3
"751","Tomorrow Never Dies (1997)",4
"752","Replacement Killers, The (1998)",4
"753","Burnt By the Sun (1994)",3
"754","Red Corner (1997)",6
"755","Jumanji (1995)",4
"756","Father of the Bride Part II (1995)",1
"757","Across the Sea of Time (1995)",5
"758","Lawnmower Man 2: Beyond Cyberspace (1996)",6
"759","Fair Game (1995)",4
"760","Screamers (1995)",5
"761","Nick of Time (1995)",4
"762","Beautiful Girls (1996)",3
"763","Happy Gilmore (1996)",1
"764","If Lucy Fell (1996)",1
